"","DA_aux_pp","DA_QUANDO_v","DOPO_aux_pp","FINCHE_v","FINO_A_aux_pp","INVECE_DI_v","ONDE_v","PER_aux_pp","PER_v","PERCHE_v","POICHE_v","PRIMA_CHE_v","PRIMA_DI_aux_pp","PRIMA_DI_v"
"giustificare",0,0,0,0,0,0,2,0,3,0,1,0,0,0
"immettere",0,0,0,0,0,0,0,1,0,0,0,0,5,0
"includere",1,0,0,0,1,0,1,1,0,0,2,0,0,0
"interrogare",0,0,0,0,0,0,0,3,0,1,0,0,2,0
"messo",0,0,0,0,0,0,0,0,0,0,0,0,6,0
"operare",0,2,1,0,0,1,0,0,0,0,2,0,0,0
"penetrare",1,0,0,0,0,1,3,0,0,0,1,0,0,0
"pervenire",0,0,0,1,0,0,5,0,0,0,0,0,0,0
"proporre",1,0,0,0,0,3,0,0,2,0,0,0,0,0
"richiudere",0,0,1,1,0,1,0,0,0,0,0,0,0,3
"ridotto",3,0,0,0,0,0,0,2,0,0,0,0,1,0
"ripartire",0,0,0,0,0,1,0,0,0,0,0,0,0,5
"scappare",0,0,0,0,0,2,0,0,0,2,0,1,0,1
"stannare",0,0,0,1,0,0,1,0,0,3,1,0,0,0
"succedere",0,0,0,0,0,0,0,0,1,1,0,4,0,0
"sviluppare",1,0,0,0,0,0,1,0,1,0,1,1,1,0
"terminare",0,0,1,1,0,0,0,1,0,0,0,1,1,1
"trasmettere",0,0,1,0,0,2,0,0,0,1,2,0,0,0
"tutelare",0,0,0,0,0,0,4,0,1,0,1,0,0,0
"violare",0,0,1,0,0,0,0,4,0,0,1,0,0,0
"visitare",0,0,2,0,0,1,0,1,1,0,0,1,0,0
"abusare",0,0,2,0,0,1,0,2,0,0,0,0,0,0
"accusare",2,0,1,0,0,0,0,1,0,1,0,0,0,0
"adottare",0,0,0,0,0,0,1,0,0,2,0,1,1,0
"afferrare",0,0,1,0,0,0,0,1,1,0,0,0,0,2
"affidare",1,0,0,0,0,2,0,1,0,0,1,0,0,0
"allontanare",0,0,0,0,0,0,0,0,0,1,0,0,2,2
"appartenere",0,0,0,0,0,0,1,0,0,3,1,0,0,0
"approfondire",0,0,0,0,0,1,2,0,2,0,0,0,0,0
"approvare",0,0,3,0,0,0,0,2,0,0,0,0,0,0
"attendere",0,0,1,0,0,0,1,0,0,0,1,0,1,1
